,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d,neg_per
0,2020-01-02,47660500,86.052002,86.052002,86.052002,86.052002,9092.19043,9092.19043,9092.19043,9092.19043,0.24784853700516352
1,2020-01-03,88892500,88.601997,86.052002,86.052002,86.052002,9020.769531,9092.19043,9092.19043,9092.19043,0.31105990783410137
2,2020-01-06,50665000,90.307999,88.601997,86.052002,86.052002,9071.469727,9020.769531,9092.19043,9092.19043,0.22869318181818182
3,2020-01-07,89410500,93.811996,90.307999,88.601997,86.052002,9068.580078,9071.469727,9020.769531,9092.19043,0.18583333333333332
4,2020-01-08,155721500,98.428001,93.811996,90.307999,88.601997,9129.240234,9068.580078,9071.469727,9020.769531,0.20315398886827457
5,2020-01-09,142202000,96.267998,98.428001,93.811996,90.307999,9203.429688,9129.240234,9068.580078,9071.469727,0.2266949152542373
6,2020-01-10,64797500,95.629997,96.267998,98.428001,93.811996,9178.860352,9203.429688,9129.240234,9068.580078,0.22130013831258644
7,2020-01-13,132588000,104.97200000000001,95.629997,96.267998,98.428001,9273.929688,9178.860352,9203.429688,9129.240234,0.21719858156028368
8,2020-01-14,144981000,107.584,104.97200000000001,95.629997,96.267998,9251.330078,9273.929688,9178.860352,9203.429688,0.24954954954954955
9,2020-01-15,86844000,103.699997,107.584,104.97200000000001,95.629997,9258.700195,9251.330078,9273.929688,9178.860352,0.2590011614401858
10,2020-01-16,108683500,102.697998,103.699997,107.584,104.97200000000001,9357.129883,9258.700195,9251.330078,9273.929688,0.2788353863381859
11,2020-01-17,68145500,102.099998,102.697998,103.699997,107.584,9388.94043,9357.129883,9258.700195,9251.330078,0.23561946902654868
12,2020-01-21,89017500,109.440002,102.099998,102.697998,103.699997,9370.80957,9388.94043,9357.129883,9258.700195,0.2621359223300971
13,2020-01-22,156845000,113.912003,109.440002,102.099998,102.697998,9383.769531,9370.80957,9388.94043,9357.129883,0.21302681992337164
14,2020-01-23,98255000,114.440002,113.912003,109.440002,102.099998,9402.480469,9383.769531,9370.80957,9388.94043,0.19498381877022652
15,2020-01-24,71768000,112.963997,114.440002,113.912003,109.440002,9314.910156,9402.480469,9383.769531,9370.80957,0.20042872454448016
16,2020-01-27,68040500,111.603996,112.963997,114.440002,113.912003,9139.30957,9314.910156,9402.480469,9383.769531,0.19419924337957126
17,2020-01-28,58942500,113.379997,111.603996,112.963997,114.440002,9269.679688,9139.30957,9314.910156,9402.480469,0.21245421245421245
18,2020-01-29,89007500,116.197998,113.379997,111.603996,112.963997,9275.160156,9269.679688,9139.30957,9314.910156,0.2483606557377049
19,2020-01-30,145028500,128.162003,116.197998,113.379997,111.603996,9298.929688,9275.160156,9269.679688,9139.30957,0.2731640356897735
20,2020-01-31,78596500,130.113998,128.162003,116.197998,113.379997,9150.94043,9298.929688,9275.160156,9269.679688,0.22535211267605634
21,2020-02-03,236167500,156.0,130.113998,128.162003,116.197998,9273.400391,9150.94043,9298.929688,9275.160156,0.3055555555555556
22,2020-02-04,304694000,177.412003,156.0,130.113998,128.162003,9467.969727,9273.400391,9150.94043,9298.929688,0.2572209211553474
23,2020-02-05,242119000,146.940002,177.412003,156.0,130.113998,9508.679688,9467.969727,9273.400391,9150.94043,0.2815376285868977
24,2020-02-06,199404000,149.792007,146.940002,177.412003,156.0,9572.150391,9508.679688,9467.969727,9273.400391,0.15577889447236182
25,2020-02-07,85317500,149.613998,149.792007,146.940002,177.412003,9520.509766,9572.150391,9508.679688,9467.969727,0.2925714285714286
26,2020-02-10,123446000,154.255997,149.613998,149.792007,146.940002,9628.389648,9520.509766,9572.150391,9508.679688,0.2664576802507837
27,2020-02-11,58487500,154.87600700000004,154.255997,149.613998,149.792007,9638.94043,9628.389648,9520.509766,9572.150391,0.23173803526448364
28,2020-02-12,60112500,153.457993,154.87600700000004,154.255997,149.613998,9725.959961,9638.94043,9628.389648,9520.509766,0.2853745541022592
29,2020-02-13,131446500,160.800003,153.457993,154.87600700000004,154.255997,9711.969727,9725.959961,9638.94043,9628.389648,0.24864376130198915
30,2020-02-14,78468500,160.005997,160.800003,153.457993,154.87600700000004,9731.179688,9711.969727,9725.959961,9638.94043,0.20131086142322097
