,Date,compound,positive,negative,neutral
0,2020-01-01,1.0,0.147,0.057,0.796
1,2020-01-02,1.0,0.117,0.051,0.831
2,2020-01-03,1.0,0.098,0.064,0.838
3,2020-01-04,1.0,0.108,0.06,0.832
4,2020-01-05,1.0,0.129,0.053,0.818
5,2020-01-06,1.0,0.097,0.051,0.852
6,2020-01-07,1.0,0.104,0.048,0.848
7,2020-01-08,1.0,0.114,0.05,0.836
8,2020-01-09,1.0,0.097,0.055,0.848
9,2020-01-10,1.0,0.114,0.052,0.835
10,2020-01-11,1.0,0.121,0.05,0.828
11,2020-01-12,1.0,0.105,0.065,0.83
12,2020-01-13,1.0,0.122,0.05,0.828
13,2020-01-14,1.0,0.103,0.056,0.841
14,2020-01-15,1.0,0.104,0.06,0.836
15,2020-01-16,1.0,0.101,0.065,0.834
16,2020-01-17,1.0,0.094,0.068,0.838
17,2020-01-18,1.0,0.108,0.076,0.815
18,2020-01-19,1.0,0.107,0.066,0.827
19,2020-01-20,1.0,0.102,0.055,0.843
20,2020-01-21,1.0,0.111,0.061,0.827
21,2020-01-22,1.0,0.109,0.052,0.839
22,2020-01-23,1.0,0.102,0.057,0.841
23,2020-01-24,1.0,0.097,0.064,0.839
24,2020-01-25,0.9997,0.092,0.078,0.83
25,2020-01-26,0.9999,0.094,0.064,0.842
26,2020-01-27,1.0,0.1,0.058,0.843
27,2020-01-28,1.0,0.106,0.048,0.846
28,2020-01-29,1.0,0.108,0.054,0.839
29,2020-01-30,1.0,0.115,0.056,0.829
30,2020-01-31,1.0,0.115,0.052,0.832
31,2020-02-01,1.0,0.116,0.05,0.833
32,2020-02-02,1.0,0.11,0.054,0.836
33,2020-02-03,1.0,0.113,0.06,0.828
34,2020-02-04,1.0,0.101,0.057,0.843
35,2020-02-05,1.0,0.103,0.06,0.837
36,2020-02-06,1.0,0.101,0.048,0.85
37,2020-02-07,1.0,0.116,0.053,0.831
38,2020-02-08,1.0,0.119,0.05,0.832
39,2020-02-09,1.0,0.122,0.047,0.832
40,2020-02-10,1.0,0.111,0.054,0.835
41,2020-02-11,1.0,0.105,0.049,0.847
42,2020-02-12,1.0,0.115,0.063,0.823
43,2020-02-13,1.0,0.105,0.053,0.842
44,2020-02-14,1.0,0.107,0.058,0.835
45,2020-02-15,0.9998,0.087,0.073,0.84
46,2020-02-16,-0.9999,0.078,0.09,0.831
47,2020-02-17,-1.0,0.071,0.087,0.842
48,2020-02-18,-1.0,0.072,0.081,0.847
49,2020-02-19,0.9991,0.081,0.075,0.844
50,2020-02-20,0.9999,0.089,0.069,0.843
51,2020-02-21,0.9988,0.084,0.078,0.838
52,2020-02-22,1.0,0.109,0.057,0.834
53,2020-02-23,1.0,0.104,0.064,0.832
54,2020-02-24,1.0,0.092,0.067,0.842
55,2020-02-25,1.0,0.106,0.069,0.824
56,2020-02-26,0.9992,0.101,0.091,0.809
57,2020-02-27,1.0,0.112,0.058,0.83
58,2020-02-28,1.0,0.103,0.055,0.841
59,2020-02-29,1.0,0.118,0.051,0.831
60,2020-03-01,1.0,0.114,0.049,0.837
61,2020-03-02,1.0,0.103,0.056,0.841
62,2020-03-03,1.0,0.109,0.054,0.838
63,2020-03-04,1.0,0.111,0.044,0.846
64,2020-03-05,1.0,0.118,0.05,0.831
65,2020-03-06,1.0,0.118,0.057,0.825
66,2020-03-07,1.0,0.118,0.053,0.829
67,2020-03-08,1.0,0.115,0.055,0.831
68,2020-03-09,1.0,0.1,0.066,0.834
69,2020-03-10,1.0,0.106,0.051,0.842
70,2020-03-11,1.0,0.104,0.049,0.847
71,2020-03-12,1.0,0.098,0.05,0.852
72,2020-03-13,1.0,0.112,0.051,0.837
73,2020-03-14,1.0,0.118,0.046,0.836
74,2020-03-15,1.0,0.102,0.053,0.845
75,2020-03-16,1.0,0.108,0.062,0.83
76,2020-03-17,1.0,0.112,0.054,0.834
77,2020-03-18,1.0,0.102,0.071,0.827
78,2020-03-19,1.0,0.107,0.07,0.823
79,2020-03-20,1.0,0.1,0.061,0.84
80,2020-03-21,1.0,0.114,0.067,0.82
81,2020-03-22,1.0,0.106,0.055,0.839
82,2020-03-23,1.0,0.112,0.06,0.828
83,2020-03-24,1.0,0.124,0.057,0.82
84,2020-03-25,1.0,0.118,0.048,0.834
85,2020-03-26,1.0,0.111,0.06,0.829
86,2020-03-27,1.0,0.127,0.06,0.813
87,2020-03-28,1.0,0.148,0.064,0.788
88,2020-03-29,1.0,0.108,0.039,0.852
89,2020-03-30,1.0,0.108,0.051,0.841
90,2020-03-31,1.0,0.109,0.05,0.841
91,2020-04-01,1.0,0.128,0.05,0.822
92,2020-04-02,1.0,0.136,0.057,0.808
93,2020-04-03,1.0,0.101,0.054,0.845
94,2020-04-04,1.0,0.12,0.045,0.835
95,2020-04-05,1.0,0.11,0.058,0.832
96,2020-04-06,1.0,0.121,0.048,0.831
97,2020-04-07,1.0,0.101,0.047,0.852
98,2020-04-08,1.0,0.109,0.061,0.83
99,2020-04-09,1.0,0.104,0.054,0.842
100,2020-04-10,1.0,0.11,0.046,0.845
101,2020-04-11,1.0,0.111,0.043,0.845
102,2020-04-12,1.0,0.106,0.046,0.849
103,2020-04-13,1.0,0.115,0.046,0.839
104,2020-04-14,1.0,0.112,0.042,0.846
105,2020-04-15,1.0,0.109,0.044,0.847
106,2020-04-16,1.0,0.116,0.052,0.832
107,2020-04-17,1.0,0.115,0.052,0.833
108,2020-04-18,1.0,0.13,0.05,0.82
109,2020-04-19,0.9999,0.096,0.043,0.861
110,2020-04-20,1.0,0.126,0.048,0.827
111,2020-04-21,1.0,0.12,0.042,0.838
112,2020-04-22,1.0,0.12,0.041,0.838
113,2020-04-23,1.0,0.107,0.046,0.847
114,2020-04-24,1.0,0.127,0.046,0.827
115,2020-04-25,1.0,0.098,0.055,0.846
116,2020-04-26,1.0,0.117,0.054,0.829
117,2020-04-27,1.0,0.099,0.043,0.857
118,2020-04-28,1.0,0.1,0.05,0.85
119,2020-04-29,1.0,0.117,0.062,0.822
120,2020-04-30,1.0,0.107,0.08,0.814
121,2020-05-01,1.0,0.102,0.077,0.821
122,2020-05-02,1.0,0.11,0.067,0.823
123,2020-05-03,1.0,0.103,0.06,0.836
124,2020-05-04,1.0,0.108,0.044,0.848
125,2020-05-05,1.0,0.108,0.045,0.848
126,2020-05-06,1.0,0.11,0.046,0.844
127,2020-05-07,1.0,0.107,0.051,0.841
128,2020-05-08,1.0,0.105,0.051,0.844
129,2020-05-09,1.0,0.114,0.072,0.814
130,2020-05-10,1.0,0.108,0.093,0.799
131,2020-05-11,1.0,0.108,0.089,0.803
132,2020-05-12,1.0,0.106,0.081,0.813
133,2020-05-13,1.0,0.112,0.074,0.814
134,2020-05-14,1.0,0.104,0.061,0.836
135,2020-05-15,1.0,0.105,0.048,0.847
136,2020-05-16,1.0,0.111,0.054,0.835
137,2020-05-17,1.0,0.124,0.056,0.819
138,2020-05-18,1.0,0.1,0.049,0.851
139,2020-05-19,1.0,0.11,0.043,0.847
140,2020-05-20,1.0,0.111,0.051,0.838
141,2020-05-21,1.0,0.119,0.055,0.827
142,2020-05-22,1.0,0.101,0.051,0.848
143,2020-05-23,1.0,0.121,0.05,0.829
144,2020-05-24,1.0,0.011,0.004,0.984
145,2020-05-25,1.0,0.123,0.055,0.822
146,2020-05-26,1.0,0.103,0.043,0.854
147,2020-05-27,1.0,0.108,0.044,0.848
148,2020-05-28,1.0,0.102,0.058,0.84
149,2020-05-29,1.0,0.102,0.045,0.853
150,2020-05-30,1.0,0.135,0.038,0.827
151,2020-05-31,1.0,0.106,0.042,0.851
152,2020-06-01,1.0,0.121,0.054,0.825
153,2020-06-02,1.0,0.095,0.049,0.856
154,2020-06-03,1.0,0.096,0.048,0.856
155,2020-06-04,1.0,0.092,0.049,0.858
156,2020-06-05,1.0,0.115,0.05,0.835
157,2020-06-06,1.0,0.118,0.049,0.833
158,2020-06-07,1.0,0.108,0.046,0.847
159,2020-06-08,1.0,0.101,0.041,0.857
160,2020-06-09,1.0,0.098,0.041,0.861
161,2020-06-10,1.0,0.119,0.042,0.839
162,2020-06-11,1.0,0.101,0.04,0.859
163,2020-06-12,1.0,0.086,0.044,0.869
164,2020-06-13,1.0,0.107,0.049,0.844
165,2020-06-14,1.0,0.109,0.045,0.846
166,2020-06-15,1.0,0.109,0.042,0.849
167,2020-06-16,1.0,0.095,0.051,0.854
168,2020-06-17,1.0,0.108,0.043,0.849
169,2020-06-18,1.0,0.108,0.038,0.854
170,2020-06-19,1.0,0.105,0.043,0.852
171,2020-06-20,1.0,0.113,0.053,0.834
172,2020-06-21,1.0,0.125,0.047,0.828
173,2020-06-22,1.0,0.11,0.049,0.842
174,2020-06-23,1.0,0.111,0.051,0.839
175,2020-06-24,1.0,0.098,0.066,0.836
176,2020-06-25,1.0,0.102,0.062,0.835
177,2020-06-26,1.0,0.097,0.061,0.842
178,2020-06-27,1.0,0.133,0.04,0.827
179,2020-06-28,1.0,0.196,0.037,0.767
180,2020-06-29,1.0,0.113,0.045,0.843
181,2020-06-30,1.0,0.113,0.049,0.839
182,2020-07-01,1.0,0.133,0.045,0.822
183,2020-07-02,1.0,0.128,0.045,0.827
184,2020-07-03,1.0,0.115,0.047,0.838
185,2020-07-04,1.0,0.128,0.052,0.821
186,2020-07-05,1.0,0.124,0.05,0.826
187,2020-07-06,1.0,0.117,0.053,0.83
188,2020-07-07,1.0,0.116,0.044,0.84
189,2020-07-08,1.0,0.111,0.05,0.839
190,2020-07-09,1.0,0.096,0.047,0.857
191,2020-07-10,1.0,0.116,0.043,0.841
192,2020-07-11,1.0,0.121,0.048,0.831
193,2020-07-12,1.0,0.103,0.048,0.848
194,2020-07-13,1.0,0.1,0.056,0.844
195,2020-07-14,1.0,0.145,0.037,0.818
196,2020-07-15,1.0,0.116,0.052,0.831
197,2020-07-16,1.0,0.108,0.056,0.836
198,2020-07-17,1.0,0.105,0.044,0.851
199,2020-07-18,1.0,0.111,0.049,0.84
200,2020-07-19,1.0,0.108,0.049,0.843
201,2020-07-20,1.0,0.097,0.051,0.852
202,2020-07-21,1.0,0.102,0.045,0.852
203,2020-07-22,1.0,0.126,0.041,0.833
204,2020-07-23,1.0,0.125,0.052,0.823
205,2020-07-24,1.0,0.12,0.057,0.823
206,2020-07-25,1.0,0.125,0.063,0.812
207,2020-07-26,1.0,0.117,0.056,0.827
208,2020-07-27,1.0,0.116,0.053,0.831
209,2020-07-28,1.0,0.105,0.049,0.846
210,2020-07-29,1.0,0.111,0.047,0.842
211,2020-07-30,1.0,0.122,0.046,0.832
212,2020-07-31,1.0,0.112,0.04,0.848
213,2020-08-01,1.0,0.12,0.054,0.825
214,2020-08-02,1.0,0.13,0.048,0.822
215,2020-08-03,1.0,0.112,0.049,0.839
216,2020-08-04,1.0,0.094,0.044,0.861
217,2020-08-05,1.0,0.1,0.048,0.852
218,2020-08-06,1.0,0.103,0.051,0.846
219,2020-08-07,1.0,0.101,0.047,0.851
220,2020-08-08,1.0,0.126,0.052,0.822
221,2020-08-09,1.0,0.127,0.047,0.826
222,2020-08-10,1.0,0.101,0.049,0.85
223,2020-08-11,1.0,0.107,0.04,0.853
224,2020-08-12,1.0,0.099,0.047,0.854
225,2020-08-13,1.0,0.109,0.05,0.841
226,2020-08-14,1.0,0.107,0.037,0.857
227,2020-08-15,1.0,0.121,0.044,0.835
228,2020-08-16,1.0,0.106,0.037,0.858
229,2020-08-17,1.0,0.096,0.044,0.86
230,2020-08-18,1.0,0.111,0.041,0.848
231,2020-08-19,1.0,0.104,0.046,0.85
232,2020-08-20,1.0,0.121,0.046,0.833
233,2020-08-21,1.0,0.115,0.042,0.843
234,2020-08-22,1.0,0.121,0.048,0.831
235,2020-08-23,1.0,0.097,0.053,0.85
236,2020-08-24,1.0,0.105,0.054,0.842
237,2020-08-25,1.0,0.103,0.043,0.854
238,2020-08-26,1.0,0.104,0.048,0.848
239,2020-08-27,1.0,0.113,0.054,0.833
240,2020-08-28,1.0,0.105,0.054,0.841
241,2020-08-29,1.0,0.113,0.052,0.836
242,2020-08-30,1.0,0.113,0.051,0.835
243,2020-08-31,1.0,0.113,0.047,0.84
244,2020-09-01,1.0,0.102,0.045,0.852
245,2020-09-02,1.0,0.101,0.05,0.849
246,2020-09-03,-1.0,0.082,0.156,0.762
247,2020-09-04,1.0,0.097,0.052,0.851
248,2020-09-05,1.0,0.099,0.047,0.854
249,2020-09-06,1.0,0.099,0.06,0.84
250,2020-09-07,1.0,0.089,0.059,0.851
251,2020-09-08,1.0,0.093,0.061,0.846
252,2020-09-09,1.0,0.097,0.053,0.85
253,2020-09-10,1.0,0.11,0.059,0.831
254,2020-09-11,1.0,0.1,0.051,0.85
255,2020-09-12,1.0,0.114,0.06,0.825
256,2020-09-13,1.0,0.101,0.052,0.847
257,2020-09-14,1.0,0.108,0.047,0.845
258,2020-09-15,1.0,0.113,0.053,0.834
